PaperID,PaperTitle,PublicationDate,PaperLocated,DOI,#Citation,#Reference,#Existed Reference,#Not in RG List
1732437,Chaos Caused by Resonance Overlap in the Solar Neighborhood: Spiral Structure at the Bar's Outer Lindblad Resonance | Request PDF,02-Apr,The Astronomical Journal 125(2),10.1086/345725,74 ,36,15,21
1732438,(PDF) On the Utter Irrelevance of LPL Graduate Students: An Unbiased Survey by Steward Observatory Graduate Students,02-May,arXiv,,0 ,3,0,3
1732439,The Absence of Stars in Compact High-Velocity Clouds | Request PDF,02-Apr,The Astrophysical Journal 574(2),10.1086/341005,34 ,101,44,57
1732440,"Gravitational Lenses, the Distance Ladder and the Hubble Constant: A New Dark Matter Problem",02-May,arXiv,,22 ,71,17,54
1732441,Can Reflection from Grains Diagnose the Albedo? | Request PDF,02-Apr,The Astrophysical Journal 574(2),10.1086/341007,36 ,67,26,41
1732442,(PDF) Science with the new generation high energy gamma- ray experiments,08-Jan,arXiv,,29 ,8,8,0
1732443,(PDF) Synchronization in Complex Systems Following the Decision Based Queuing Process: The Rhythmic Applause as a Test Case,08-Jan,Journal of Statistical Mechanics Theory and Experiment 2008(7),10.1088/1742-5468/2008/07/P07017,6 ,25,20,19
1732444,(PDF) Preliminary Sunyaev Zel’dovich Observations of Galaxy Clusters with OCRA-p,07-Jun,Monthly Notices of the Royal Astronomical Society 378(2):673 - 680,10.1111/j.1365-2966.2007.11808.x,18 ,95,88,89
1732445,On Transverse Knots and Branched Covers,08-Jan,International Mathematics Research Notices 2009(3),10.1093/imrn/rnn138,23 ,31,23,8
1732446,Spin curves and Scorza quartics | Request PDF,08-Feb,Mathematische Annalen 349(3):623-645,10.1007/s00208-010-0530-6,14 ,51,44,7
1732447,Numerical Models of Viscous Accretion Flows near Black Holes | Request PDF,08-Dec,The Astrophysical Journal 573(2):728,10.1086/340761,41 ,69,36,33
1732448,(PDF) The Starburst Nature of Lyman-Break Galaxies: Testing UV Extinction with X-rays,02-Apr,The Astronomical Journal 124(1),10.1086/341043,34 ,60,40,69
1732449,Self-Collimation and Magnetic Field Generation of Astrophysical Jets,02-Apr,The Astrophysical Journal 569(1),10.1086/340455,20 ,64,28,36
1732450,(PDF) Helium-like triplet diagnostics,02-May,arXiv,,0 ,60,20,89
1732451,Symplectic reflection algebras,08-Jan,,10.4171/062-1/7,24 ,176,147,29
1732452,(PDF) BeppoSAX Observations of the Young Pulsar in the Kes 75 Supernova Remnant,02-Apr,The Astrophysical Journal 574(2),10.1086/340976,30 ,34,16,18
1732453,"VLA Detection of RRLs from the radio nucleus of NGC 253 : Ionization by a weak AGN, an obscured SSC or a compact SNR ?",02-May,arXiv,,0 ,51,3,48
1732454,The Phoenix galaxy: UGC4203 re-birth from its ashes? | Request PDF,02-Apr,Astronomy and Astrophysics 388(3),10.1051/0004-6361:20020471,39 ,70,32,57
1732455,Microlensing Neutron Stars | Request PDF,02-Apr,Astronomy and Astrophysics 388(2),10.1051/0004-6361:20020530,8 ,82,42,40
1732456,(PDF) NGC1052 - A study of the pc-scale twin jet,02-May,arXiv,,2 ,10,3,7
1732457,(PDF) The Role of Damped Alfvén Waves in Magnetospheric Accretion Models of Young Stars,02-May,The Astrophysical Journal 574(2),10.1086/340995,5 ,76,36,40
1732458,Characterizing the complex absorber in NGC 4151 | Request PDF,02-Aug,Monthly Notices of the Royal Astronomical Society 334(4):811 - 818,10.1046/j.1365-8711.2002.05546.x,46 ,63,34,29
1732460,Dark 2002 and Beyond,02-May,arXiv,,12 ,96,46,50
1732461,(PDF) Fundamental Properties and Distances of Large Magellanic Cloud Eclipsing Binaries. III. EROS 1044,08-Dec,The Astrophysical Journal 574(2):771,10.1086/341003,31 ,56,24,32
1732462,The Role of Millimeter VLBI Observations in AGN Research | Request PDF,02-May,arXiv,,1 ,9,1,8
1732463,(PDF) Candidate Pre-Main-Sequence F Stars with Circumstellar Dust Identified Using Combined 2MASS and uvby Data,02-Apr,The Astrophysical Journal 570(1),10.1086/340856,6 ,31,13,18
1732464,"(PDF) Characterization of M, L, and T Dwarfs in the Sloan Digital Sky Survey",07-Dec,The Astronomical Journal 123(6):3409,10.1086/340697,272 ,69,30,39
1732465,Is power-law inflation really attractive?,02-May,arXiv,,11 ,22,12,10
1732466,(PDF) The Discovery of Time Variability in OH Megamasers,02-Apr,The Astrophysical Journal 569(2),10.1086/340773,15 ,17,9,8
1732467,Weak Lensing of the CMB: Extraction of Lensing Information from the Trispectrum | Request PDF,03-Mar,New Astronomy 8(3):231-253,10.1016/S1384-1076(02)00225-7,76 ,78,55,23
1732468,POSSIBLE LINK BETWEEN THE CHANGING FINE-STRUCTURE CONSTANT AND THE ACCELERATING UNIVERSE VIA SCALAR-TENSOR THEORY,12-Jan,International Journal of Modern Physics D 11(07),10.1142/S0218271802002621,17 ,23,10,13
1732469,"(PDF) The Pluto Energetic Particle Spectrometer Science Investigation (PEPSSI) on the New Horizons Mission (vol 140, pg 315, 2008)",07-Sep,Space Science Reviews 145(3-4),10.1007/s11214-009-9534-5,13 ,58,6,52
1732470,AGN Outflows: Analysis of the Absorption Troughs,02-May,arXiv,,3 ,32,12,20
1732471,Velocity Structure of the ISM as Seen by the Spectral Correlation Function | Request PDF,02-Apr,arXiv,,0 ,32,4,28
1732472,(PDF) Molecular gas in NGC 6946,02-Jun,,10.1051/0004-6361:20020467,54 ,87,35,0
1732473,(PDF) The truncation of stellar discs: The magnetic hypothesis,02-Apr,Astronomy and Astrophysics 388(1),10.1051/0004-6361:20020423,24 ,72,15,0
1732474,(PDF) Quivers and the Euclidean group,07-Dec,,10.1090/conm/478/09327,5 ,26,24,2
1732475,Recent Advances in Large-Scale Structure and Galaxy Formation Studies | Request PDF,02-Jul,Nuclear Physics B - Proceedings Supplements 110(2):115-127,10.1016/S0920-5632(02)01468-8,0 ,99,61,38
1732476,(PDF) The Signature of Supernova Ejecta Measured in the X-ray Afterglow of Gamma-Ray Burst 011211,02-May,Nature 416(6880):512-5,10.1038/416512a,198 ,45,54,25
1732477,ROSAT X-ray sources in the field of the LMC. II.Statistics of background AGN and X-ray binaries,02-Apr,Astronomy and Astrophysics 388(1),10.1051/0004-6361:20020480,12 ,98,41,57
1732478,Orbital dynamics of three-dimensional bars: I. The backbone of 3D bars. A fiducial case | Request PDF,02-Jul,Monthly Notices of the Royal Astronomical Society,10.1046/j.1365-8711.2002.05468.x,124 ,60,25,44
1732479,Orbital dynamics of three-dimensional bars: II. Investigation of the parameter space | Request PDF,02-Jul,Monthly Notices of the Royal Astronomical Society,10.1046/j.1365-8711.2002.05469.x,75 ,26,11,15
1732480,Deep optical observations of G 65.3+5.7 | Request PDF,02-Apr,Astronomy and Astrophysics 388(1),10.1051/0004-6361:20020511,18 ,52,25,27
1732481,(PDF) On the Dyadosphere of Black Hole,02-May,arXiv,,17 ,51,17,34
1732482,Theoretical thermal X-ray spectra of relativistic MHD jets | Request PDF,02-Apr,Astronomy and Astrophysics 385(3),10.1051/0004-6361:20020196,5 ,34,20,14
1732483,Stellar Archaeology: a Keck Pilot Program on Extremely Metal-Poor Stars From the Hamburg/ESO Survey. I Stellar Parameters,02-Apr,The Astronomical Journal 124(1),10.1086/340954,45 ,97,34,63
1732484,(PDF) LBQS 0015+0239: A Binary Quasar with Small Angular Separation,02-Apr,The Astrophysical Journal 574(2),10.1086/341064,7 ,98,47,51
1732485,(PDF) Effective KN interaction based on chiral SU(3) dynamics,08-Mar,Physical Review C 77(3):035204-035204,10.1103/PHYSREVC.77.035204,212 ,97,52,45
1732486,Determining the CP parity of Higgs bosons at the LHC in the τ to 1-prong decay channels | Request PDF,09-Feb,Physics Letters B 671(4-5):470-476,10.1016/j.physletb.2008.12.065,51 ,44,26,18
1732487,Emission of SN 1006 produced by accelerated cosmic rays | Request PDF,02-Apr,Astronomy and Astrophysics 395(3),10.1051/0004-6361:20021219,109 ,76,37,39
1732488,The Temperature Structure in Ionized Nebulae and the Chemical Evolution of Galaxies,02-Jan,arXiv,,5 ,47,26,21
1732489,(PDF) VLA observations of H I in the helix nebula (NGC 7293),02-Apr,The Astrophysical Journal 574(1),10.1086/340800,24 ,42,19,23
1732490,(PDF) Using Supernovae to Determine the Equation of State of the Dark Energy: Is Shallow Better than Deep?,02-May,arXiv,,5 ,8,1,7
1732491,Large Scale Structure in an Era of Precision CMB Measurements,02-May,,10.1007/978-3-642-55739-2_12,2 ,37,19,18
1732492,Extrasolar Trojans: The Viability and Detectability of Planets in the 1:1 Resonance,02-Apr,The Astronomical Journal 124(1),10.1086/341173,110 ,30,15,15
1732493,Non-Gaussian Features of Transmitted Flux of QSOs' Lyα Absorption: Intermittent Exponent | Request PDF,08-Dec,The Astrophysical Journal 574(2):575,10.1086/341062,11 ,53,33,20
1732494,Microarcsecond Radio Imaging using Earth Orbit Synthesis,02-Apr,The Astrophysical Journal 572(2),10.1086/340433,40 ,46,26,20
1732495,X-ray Evolution of SN 1987A,07-May,arXiv,,0 ,19,2,17
1732496,On Weak Tail Domination of Random Vectors | Request PDF,07-Dec,Bulletin of the Polish Academy of Sciences Mathematics 57(1),10.4064/ba57-1-8,11 ,5,5,0
1732497,A constructive Borel-Cantelli Lemma. Constructing orbits with required statistical properties | Request PDF,09-May,Theoretical Computer Science 410(21-23):2207-2222,10.1016/j.tcs.2009.02.010,26 ,30,22,8
1732498,On the dual variable of the Cauchy stress tensor in isotropic finite hyperelasticity | Request PDF,07-Nov,Comptes Rendus Mecanique 336(11),10.1016/j.crme.2008.10.003,13 ,17,13,4
1732499,Degenerate principal series representations and their holomorphic extensions | Request PDF,10-Mar,Advances in Mathematics 223(5):1495-1520,10.1016/j.aim.2009.09.014,6 ,48,44,4
1732500,(PDF) How Many Radio-loud Quasars Can Be Detected by the Gamma-Ray Large Area Space Telescope ?,07-Dec,The Astrophysical Journal 673(2),10.1086/527556,13 ,64,31,33
1732501,"(PDF) Operators on C_{0}(L,X) whose range does not contain c_{0}",08-Feb,Bulletin of the Australian Mathematical Society 77(3),10.1017/S0004972708000646,0 ,9,6,3
1732502,(PDF) HI 21�cm imaging of a nearby damped Lyman? system,02-Jun,Astronomy and Astrophysics 388(2):383-388,10.1051/0004-6361:20020513,23 ,45,20,59
1732503,(PDF) A rapidly variable narrow X-ray iron line in Mkn 841,02-Apr,Astronomy and Astrophysics 388(1),10.1051/0004-6361:20020534,48 ,41,18,23
1732504,ROSAT X-ray sources in the field of the LMC - III. The log $\vec{N}$ – log $\vec{S}$ of background AGN and the LMC gas,02-Jun,Astronomy and Astrophysics 388(1):113-127,10.1051/0004-6361:20020481,7 ,53,25,28
1732505,(PDF) A study of convection with delta Scuti stars in open clusters: Pleiades,02-May,,10.1017/S0252921100016912,2 ,9,4,5
1732506,The Effect of Mixing on Metallicity Gradients in the Intracluster Medium,02-May,The Astrophysical Journal 571(1),10.1086/341199,19 ,51,26,25
1732507,(PDF) Neural Nets and Star/Galaxy Separation in Wide Field Astronomical Images,Aug-99,,10.1109/IJCNN.1999.830761,6 ,27,24,3
1732508,Detached white-dwarf close-binary stars – CV's extended family,Jun-99,New Astronomy Reviews 44(1-2):119-124,10.1016/S1387-6473(00)00024-5,56 ,24,13,11
1732509,Two‐phase radiative/conductive equilibrium in active galactic nuclei and galactic black holes | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 316(3):473 - 478,10.1046/j.1365-8711.2000.03429.x,49 ,39,21,18
1732510,Observations of Gamma-ray emission from the blazar Markarian 421 above 250 GeV with the CAT Cherenkov imaging telescope,Jul-99,arXiv,,0 ,9,0,9
1732511,A Problem of the QCD Axion in Supergravity,08-Jan,,,0 ,24,24,0
1732512,A possible contribution to CMB anisotropies at high from primordial voids | Request PDF,03-Mar,Monthly Notices of the Royal Astronomical Society 339(3):680 - 684,10.1046/j.1365-8711.2003.06211.x,21 ,75,45,54
1732513,On Optimal Detection of Point Sources in CMB Maps | Request PDF,02-Apr,Astronomy and Astrophysics 391(2),10.1051/0004-6361:20020821,14 ,10,4,6
1732514,Variability in the Thermal Emission from Accreting Neutron Star Transients,02-Apr,The Astrophysical Journal 574(2),10.1086/341066,110 ,112,51,61
1732515,(PDF) Hubble space telescope NICMOS imaging of the core of M87,02-Apr,The Astronomical Journal 124(1),10.1086/341169,6 ,58,21,37
1732516,(PDF) Infrared spectroscopy of the largest known trans-Neptunian object 2001 KX76,02-Apr,Astronomy and Astrophysics 388(1),10.1051/0004-6361:20020533,35 ,37,16,21
1732517,VLBA Measurement of Nine Pulsar Parallaxes | Request PDF,02-May,arXiv,,2 ,28,1,27
1732518,Determining Central Black Hole Masses in Distant Active Galaxies | Request PDF,02-Apr,The Astrophysical Journal 571(2),10.1086/340045,316 ,138,58,80
1732519,(PDF) Discovery of two infrared supernovae: A new window on the SN search,02-Apr,Astronomy and Astrophysics 389(1),10.1051/0004-6361:20020604,51 ,53,22,31
1732520,The growth and structure of dark matter haloes,03-Feb,Monthly Notices of the Royal Astronomical Society 339(1):12 - 24,10.1046/j.1365-8711.2003.06135.x,294 ,32,21,11
1732521,The dwarf spheroidal companions to M31: WFPC2 observations of Andromeda III,02-Apr,The Astronomical Journal 124(1),10.1086/340965,41 ,120,54,135
1732522,(PDF) Detections of SiO Masers from the Large-Amplitude Variables in the Galactic Nuclear Disk,02-Apr,Publications- Astronomical Society of Japan 54(2):L19-L22,10.1093/pasj/54.2.L19,23 ,46,19,27
1732523,Clementine Observations of the Zodiacal Light and the Dust Content of the Inner Solar System | Request PDF,02-Apr,Icarus 158(2):360-378,10.1006/icar.2002.6881,61 ,43,39,4
1732524,Angular Resolution of Pachmarhi Array of Cerenkov Telescopes | Request PDF,03-Jan,Astroparticle Physics 18(4):333-349,10.1016/S0927-6505(02)00148-2,17 ,30,25,5
1732525,(PDF) Spin-drag relaxation time in one-dimensional spin-polarized Fermi gases,08-Jan,Physical Review B 77(3):035113,10.1103/PhysRevB.77.035113,14 ,66,40,25
1732526,"Metal-rich multi-phase gas in M87: AGN-driven metal transport, magnetic-field supported multi-temperature gas, and constraints on non-thermal emission observed with XMM-Newton | Request PDF",07-Sep,Astronomy and Astrophysics 482(1),10.1051/0004-6361:20078749,80 ,142,56,86
1732527,KiloHertz quasi-periodic oscillations difference frequency exceeds inferred spin frequency in 4U 1636-53 | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 336(1),10.1046/j.1365-8711.2002.05781.x,44 ,56,21,35
1732528,(PDF) The Nature of Faint Companions to G-Type Stars from Adaptive Optics,07-Dec,The Astronomical Journal 124(2):1127,10.1086/341378,3 ,47,22,25
1732529,Tracking quintessential inflation from brane worlds | Request PDF,02-Apr,Physical review D: Particles and fields 66(4),10.1103/PhysRevD.66.043524,57 ,105,56,103
1732530,(PDF) X-Ray Resonance Opacity of Oxygen and Iron in AGN MCG--6-30-15,02-May,arXiv,,1 ,14,1,13
1732531,A Peculiar Spectral State Transition of 4U 1705-44: When an Atoll Looks Like a Z | Request PDF,02-Sep,The Astrophysical Journal 576(1):391-401,10.1086/341626,74 ,32,20,12
1732532,"(PDF) Chemical Composition of Carbon-Rich, Very Metal-Poor Subgiant LP 625-44 Observed with the Subaru/HDS",02-May,Publications- Astronomical Society of Japan 54(3),10.1093/pasj/54.3.427,54 ,53,38,14
1732533,(PDF) X-ray powerful diagnostics for highly-ionized plasmas: He-like ions,02-May,arXiv,,0 ,21,4,17
1732534,Astrometric Microlensing: A Channel to Detect Multiple Lens Systems,02-Apr,Monthly Notices of the Royal Astronomical Society 335(1),10.1046/j.1365-8711.2002.05608.x,2 ,44,16,28
1732535,Dynamical state of superclusters of galaxies: Do superclusters expand or have they started to collapse? | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 337(4),10.1046/j.1365-8711.2002.06016.x,21 ,79,42,37
1732536,(PDF) Saturation of Transverse Energy per Charged Hadron and Freeze-Out Criteria in Heavy-Ion Collisions,08-Jan,The European Physical Journal Special Topics 155(1),10.1140/epjst/e2008-00584-3,13 ,67,36,29
1732537,The radio-loud plasma in pulsars | Request PDF,02-May,arXiv,,6 ,45,18,27
1732538,(PDF) Subluminous Stars among the FAUST UV sources toward OPHIUCHUS,02-May,arXiv,,0 ,47,2,45
1732539,(PDF) Unveiling the structure of the planetary nebula M 2-48: Kinematics and physical conditions,02-Apr,Astronomy and Astrophysics 388(2),10.1051/0004-6361:20020502,24 ,44,14,30
1732540,(PDF) Superhumps in cataclysmic binaries - XXII. 1RXS J232953.9+062814,02-Apr,Publications of the Astronomical Society of the Pacific 114(796),10.1086/341692,18 ,13,7,6
1732541,(PDF) Constraining the Lifetime of QSOs with Present-day Mass Function of Supermassive Black Holes,02-May,The Astrophysical Journal 576(1),10.1086/341546,15 ,62,15,0
1732542,Deuterated molecules as a probe of ionization fraction in dense interstellar clouds,02-Apr,Planetary and Space Science 50(12-13):1133-1144,10.1016/S0032-0633(02)00074-0,62 ,77,63,14
1732543,Evidence for Orbital Decay of RX J1914.4+2456: Gravitational Radiation and the Nature of the X-Ray Emission,02-Apr,The Astrophysical Journal 581(1),10.1086/344101,32 ,51,24,27
1732544,(PDF) Two-Dimensional Kinematics and Stellar Populations of Early-Type Galaxies: First Results from the SAURON Survey,02-May,arXiv,,1 ,21,8,13
1732545,(PDF) Detection of the 2175 Å Extinction Feature at z = 0.83,08-Dec,The Astrophysical Journal 574(2):719,10.1086/341118,48 ,42,26,16
1732546,(PDF) Diffusion at the Liquid–Vapor Interface,08-May,The Journal of Chemical Physics 128(13):134704,10.1063/1.2841128,26 ,94,48,46
1732547,Very-Long-Range Nature of Capillary Interactions in Liquid Films,08-Apr,Physical Review Letters 100(10):106103,10.1103/PhysRevLett.100.106103,35 ,31,24,7
1732548,"(PDF) A Quantum Like Interpretation and Solution of Einstein, Podolsky, and Rosen Paradox in Quantum Mechanics",07-Dec,arXiv,,4 ,9,7,2
1732549,(PDF) Chandra Observations of the Pleiades Open Cluster: X-Ray Emission from Late B- to Early F-Type Binaries,02-Apr,The Astrophysical Journal 578(1),10.1086/340553,36 ,107,46,61
1732550,Super-Eddington outburst of V4641 Sgr,02-Apr,Astronomy and Astrophysics 391(3),10.1051/0004-6361:20020865,77 ,33,15,18
1732551,Toward the Secondary Bar: Gas Morphology and Dynamics in NGC 4303 | Request PDF,08-Dec,The Astrophysical Journal 575(2):826,10.1086/341348,29 ,86,47,39
1732552,(PDF) The Sunyaev-Zel'dovich Effect Spectrum of Abell 2163,02-May,arXiv,,15 ,30,5,44
1732553,(PDF) A Study of the Long‐Term Evolution of Quasi‐Periodic Oscillations in the Accretion‐Powered X‐Ray Pulsar 4U 1626−67,08-Jan,The Astrophysical Journal 676(2),10.1086/529130,13 ,45,32,47
1732554,Light Scattering on Random Dielectric Layers | Request PDF,08-Sep,Journal of Quantitative Spectroscopy and Radiative Transfer 109(14):2329-2337,10.1016/j.jqsrt.2008.04.006,0 ,37,30,7
1732555,(PDF) Understanding the Long-Term Spectral Variability of Cygnus X-1 with Burst and Transient Source Experiment and All-Sky Monitor Observations,02-Oct,The Astrophysical Journal 578(1),10.1086/342402,170 ,55,58,41
1732556,What regulates the velocity distribution of interstellar clouds? | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 334(3),10.1046/j.1365-8711.2002.05560.x,6 ,87,39,48
1732557,Gaussian Spectral Line Profiles of Astrophysical Masers,02-Apr,The Astrophysical Journal 570(1),10.1086/340833,18 ,25,10,15
1732558,Detecting Gravitational Lensing Cosmic Shear from Samples of Several Galaxies Using Two-dimensional Spectral Imaging | Request PDF,08-Dec,The Astrophysical Journal 570(2):L51,10.1086/341103,17 ,37,21,16
1732559,Effective Screening due to Minihalos During the Epoch of Reionization,02-Apr,The Astrophysical Journal 578(1),10.1086/342313,62 ,51,24,27
1732560,(PDF) New Submillimeter Limits on Dust in the 55 Cancri Planetary System,08-Dec,The Astrophysical Journal 570(2):L93,10.1086/341101,11 ,44,22,22
1732561,(PDF) The broadband afterglow of GRB 980329,08-Dec,The Astrophysical Journal 577(1):155,10.1086/342175,20 ,120,114,115
1732562,(PDF) Measuring the Boundary Layer and Inner Accretion Disk Temperatures for WX Ceti During Superoutburst,02-Apr,Publications of the Astronomical Society of the Pacific 114(797),10.1086/341702,8 ,32,18,14
1732563,(PDF) Agglomeration of DNA-looping proteins,08-Feb,arXiv,,0 ,24,11,13
1732564,(PDF) Shell-model structure of exotic nuclei beyond 132 Sn,07-Nov,The European Physical Journal Special Topics 150(1):93-96,10.1140/epjst/e2007-00275-7,7 ,37,27,10
1732565,(PDF) A Dual Gate Spin Field Effect Transistor With Very Low Switching Voltage and Large ON-to-OFF Conductance Ratio,07-Nov,arXiv,,1 ,11,8,3
1732566,Environmental dependences for star formation triggered by expanding shell collapse | Request PDF,02-Aug,Monthly Notices of the Royal Astronomical Society 334(3):693 - 698,10.1046/j.1365-8711.2002.05559.x,37 ,43,35,8
1732567,(PDF) Scintillations and Lévy Flights through the Interstellar Medium,08-Dec,The Astrophysical Journal 584(2):791,10.1086/345827,21 ,35,32,27
1732568,Expected performance of a neutrino telescope for seeing AGN/GC behind a mountain | Request PDF,03-Apr,Nuclear Physics B - Proceedings Supplements 118:516,10.1142/9789812776860_0006,10 ,7,1,6
1732569,Mass transfer from the donor of GRS 1915+105,02-Apr,Astronomy and Astrophysics 388(3),10.1051/0004-6361:20020610,15 ,23,13,10
1732570,X-ray background measurements with XMM-Newton EPIC | Request PDF,02-Apr,Astronomy and Astrophysics 389(1),10.1051/0004-6361:20020531,291 ,67,24,43
1732571,On Equation of Motion for Arbitrarily Shaped Particle under Action of Electromagnetic Radiation,02-Nov,,,3 ,40,33,7
1732572,Scale-adaptive Filters for the Detection/Separation of Compact Sources | Request PDF,02-Apr,The Astrophysical Journal 580(1),10.1086/342651,65 ,43,21,22
1732573,(PDF) Cosmological Tests for a Linear Coasting Cosmology,02-Apr,Physics Letters B 548(1-2):12-18,10.1016/S0370-2693(02)02814-9,62 ,61,40,21
1732574,New Tests of Magnetospheric Accretion in T Tauri Stars | Request PDF,02-May,The Astrophysical Journal 573(2),10.1086/340898,72 ,100,44,105
1732575,(PDF) New Constraints on Neutron Star Cooling from Chandra Observations of 3C 58,02-May,The Astrophysical Journal 571(1),10.1086/341179,134 ,23,14,9
1732576,(PDF) New Upper Limit on the Total Neutrino Mass from the 2 Degree Field Galaxy Redshift Survey,02-Aug,Physical Review Letters 89(6):061301,10.1103/PhysRevLett.89.061301,197 ,58,38,20
1732577,Flattening and truncation of stellar discs in edge-on spiral galaxies | Request PDF,02-Apr,Monthly Notices of the Royal Astronomical Society 334(3),10.1046/j.1365-8711.2002.05556.x,233 ,83,38,77
1732578,(PDF) Rocket Observations of Far-Ultraviolet Dust Scattering in NGC 2023,08-Dec,The Astrophysical Journal 575(1):240,10.1086/341194,32 ,118,61,57
