PaperID,Abstract
1732414,"We compute upper limits on CMB cross-polarization by cross-correlating the PIQUE and Saskatoon experiments. We also discuss theoretical and practical issues relevant to measuring cross-polarization and illustrate them with simulations of the upcoming BOOMERanG 2002 experiment. We present a method that separates all six polarization power spectra (TT, EE, BB, TE, TB, EB) without any other ""leakage"" than the familiar EE-BB mixing caused by incomplete sky coverage. Since E and B get mixed, one might expect leakage between TE and TB, between EE and EB and between BB and EB - our method eliminates this by preserving the parity symmetry under which TB and EB are odd and the other four power spectra are even. Comment: Polarization movies can be found at http://www.hep.upenn.edu/~angelica/polarization.html"
1732415,"Intracluster gas velocity gradients have been recently detected by the authors in the Centaurus Cluster (A3526) using the Doppler shift of X-ray spectral lines with ASCA Solid-State Imaging Spectrometers. The velocity gradient was found to be maximum along a line roughly perpendicular to the direction of the incoming subgroup Cen 45 and has a correspondent velocity difference of ~(3.4+/-1.1)×103 km s-1 within a ~10' diameter region centered on the cD galaxy NGC 4696. Such bulk velocities should Comptonize the cosmic microwave background radiation (CMBR) producing variations of intensity and temperature that can be detectable in the near future with bolometers such as BOLOCAM. In this paper we realistically estimate the expected CMBR Comptonization for the central region of A3526, using ASCA and ROSAT data to constrain the Sunyaev-Zeldovich parameter expectations."
1732416,"We have calculated the evolution of a non-thermal electron population from super-thermal (but weakly relativistic) to highly relativistic energy range in clusters of galaxies. We investigate the evolution of hard X-ray radiation due to both bremsstrahlung and inverse Compton scattering of the cosmic microwave background photons. The bremsstrahlung component is more significant than that of inverse Compton scattering when the momentum spectra of the electron sources are steeper than $\sim P_\mathrm{e}^{-3.0}$ and vice versa in the case of Coma, where $P_\mathrm{e}$ is the electron momentum. The resultant hard X-ray spectra are flatter when the bremsstrahlung component is dominant. When the spectral indices of the source term are in the intermediate range (from $-2.5$ to $-3.5$), too much extreme ultraviolet emission is produced. Inverse-Compton-dominant models can reproduce Coma cluster results with reasonable injection rates, which are possible in cluster mergers and/or ambient gas accretion."
1732417,"We present a search for the decays B0 --> e+e-, B0 --> mu+ mu- and B0 --> e mu using data collected with the BABAR detector at the PEP-II e+e-collider at SLAC. Using a dataset corresponding to 384 x 10^6 BBbar pairs, we do not find evidence of any of the three decay modes. We obtain upper limit on the branching fractions, at 90% confidence level, of B(B0 --> e+e-)< 11.3 x 10^{-8}, B(B0 --> mu+ mu-) < 5.2 x 10^{-8}, and B(B0 --> e mu) < 9.2 x 10^{-8}. Comment: 8 pages, 14 postscript figures"
1732418,"Seven Class 0 sources mapped with SCUBA at 850 and 450 micron are modeled using a one dimensional radiative transfer code. The modeling takes into account heating from an internal protostar, heating from the ISRF, realistic beam effects, and chopping to model the normalized intensity profile and spectral energy distribution. Power law density models, n(r) ~ r^{-p}, fit all of the sources; best fit values are mostly p = 1.8 +/- 0.1, but two sources with aspherical emission contours have lower values (p ~ 1.1). Including all sources, = 1.63 +/- 0.33. Based on studies of the sensitivity of the best-fit p to variations in other input parameters, uncertainties in p for an envelope model are \Delta p = +/- 0.2. If an unresolved source (e.g., a disk) contributes 70% of the flux at the peak, p is lowered in this extreme case and \Delta p = ^{+0.2}_{-0.6}. The models allow a determination of the internal luminosity (<L_{int}> = 4.0 \lsun) of the central protostar as well as a characteristic dust temperature for mass determination (<T_{iso}> = 13.8 +/- 2.4 K). We find that heating from the ISRF strongly affects the shape of the dust temperature profile and the normalized intensity profile, but does not contribute strongly to the overall bolometric luminosity of Class 0 sources. There is little evidence for variation in the dust opacity as a function of distance from the central source. The data are well-fitted by dust opacities for coagulated dust grains with ice mantles (Ossenkopf & Henning 1994). The density profile from an inside-out collapse model (Shu 1977) does not fit the data well, unless the infall radius is set so small as to make the density nearly a power-law. Comment: Accepted to ApJ. 28 pages, 13 figures, uses emulateapj5.sty"
1732419,"The evolution of substructure embedded in non-dissipative dark halos is studied through N-body simulations of isolated systems, both in and out of initial equilibrium, complementing cosmological simulations of the growth of structure. We determine by both analytic calculations and direct analysis of the N-body simulations the relative importance of various dynamical processes acting on the clumps, such as the removal of material by global tides, clump-clump heating, clump-clump merging and dynamical friction. Our comparison between merging and disruption processes implies that spiral galaxies cannot be formed in a proto-system that contains a few large clumps, but can be formed through the accretion of many small clumps; elliptical galaxies form in a more clumpy environment than do spiral galaxies. Our results support the idea that the central cusp in the density profiles of dark halos is the consequence of self-limiting merging of small, dense halos. This implies that the collapse of a system of clumps/substructure is not sufficient to form a cD galaxy, with an extended envelope; plausibly subsequent accretion of large galaxies is required. Persistent streams of material from disrupted clumps can be found in the outer regions of the final system, and at an overdensity of around 0.75, can cover 10% to 30% of the sky. Comment: Accepted for publication in MNRAS. 61 pages, 22 figures; figures 2-7 and 21-22 are separate gif files. Complete paper plus high resolution figures available from http://www.stsci.edu/~mstiavel/Bing_et_al_02.html"
1732420,"Hubble Space Telescope STIS observations of the B III resonance line at 2066A have been obtained and analyzed for two Small Magellanic Cloud (SMC) B-type stars. While boron is not detected in either star, upper limits to the boron abundance are set, with 12+log(B/H) le 1.6 for both AV 304 and NGC 346-637. The upper limits are consistent with the relationship between boron and oxygen previously reported for Galactic disk stars. The SMC upper limits are discussed in light of that galaxy's star formation history, present oxygen abundance, and its present cosmic ray flux. The UV spectrum has also been used to determine the iron-group abundances in the SMC stars. For AV 304, [Fe/H]=-0.6 pm 0.2, from both an absolute and a differential analysis (with respect to the Galactic B-type star HD 36591). This is consistent with results from A-F supergiants in the SMC. A lower iron abundance is found for NGC 346-637, [Fe/H]=-1.0 pm 0.3, but this is in good agreement with the supergiant iron abundances in NGC 330,another young SMC cluster. We propose NGC 346-637 may be an unrecognized binary though, which complicates its spectral analysis. Comment: 13 pages, 7 figures. Accepted to ApJ"
1732421,"We have obtained 11.7 micron and 17.9 micron images at the Keck I telescope of the circumstellar dust emission from OH 231.8+4.2, an evolved mass-losing red giant with a well studied bipolar outflow. We detect both a central unresolved point source and extended emission which is aligned with the bipolar outflow seen on larger scales. We find that the unresolved central source can be explained by an opaque, flared disk with an outer radius near 300 AU and an outer temperature of about 130 K. One possible model to explain this flaring is that the material in the disk is orbiting the central star and not simply undergoing a radial expansion. Comment: ApJ, in press"
1732422,"The von Kármán-Howarth equations are derived for three-dimensional Hall magnetohydrodynamics in the case of a homogeneous and isotropic turbulence. From these equations, we derive exact scaling laws for the third-order correlation tensors. We show how these relations are compatible with previous heuristic and numerical results. These multiscale laws provide a relevant tool to investigate the nonlinear nature of the high-frequency magnetic field fluctuations in the solar wind or, more generally, in any plasma where the Hall effect is important."
1732423,The problem of estimating a complex measure made up by a linear combination of Dirac distributions centered on points of the complex plane from a finite number of its complex moments affected by additive i.i.d. Gaussian noise is considered. A random measure is defined whose expectation approximates the unknown measure under suitable conditions. An estimator of the approximating measure is then proposed as well as a new discrete transform of the noisy moments that allows to compute an estimate of the unknown measure. A small simulation study is also performed to experimentally check the goodness of the approximations.
1732424,"Using high-resolution N-body simulations of stellar discs embedded in cosmologically motivated dark matter haloes, we study the evolution of bars and the transfer of angular momentum between haloes and bars. We find that dynamical friction results in some transfer of angular momentum to the halo, but the effect is much smaller than previously found in low-resolution simulations and is incompatible with early analytical estimates. After 5 Gyr of evolution the stellar component loses only 5–7 per cent of its initial angular momentum. Mass and force resolutions are crucial for the modelling of bar dynamics. In low-resolution (300–500 pc) simulations we find that the bar slows down and angular momentum is lost relatively fast. In simulations with millions of particles reaching a resolution of 20–40 pc, the pattern speed may not change over billions of years. Our high-resolution models produce bars that are fast rotators, where the ratio of the corotation radius to the bar semi-major axis lies in the range , marginally compatible with observational results. In contrast to many previous simulations, we find that bars are relatively short. As in many observed cases, the bar semi-major axis is close to the exponential length of the disc. The transfer of angular momentum between inner and outer parts of the disc plays a very important role in the secular evolution of the disc and the bar. The bar formation increases the exponential length of the disc by a factor of 1.2–1.5. The transfer substantially increases the stellar mass in the centre of the galaxy and decreases the dark matter to baryon ratio. As the result, the central 2-kpc region is always strongly dominated by the baryonic component. At intermediate (3–10 kpc) scales the disc is sub-dominant. These models demonstrate that the efficiency of angular momentum transfer to the dark matter has been greatly overestimated. More realistic models produce bar structure in striking agreement with observational results."
1732425,"We describe a new mechanism for pulsations in evolved stars: relaxation oscillations driven by a coupling between the luminosity-dependent mass-loss rate and the H fuel abundance in a nuclear-burning shell. When mass loss is included, the outward flow of matter can modulate the flow of fuel into the shell when the stellar luminosity is close to the Eddington luminosity LEdd. When the luminosity drops below LEdd, the mass outflow declines and the shell is resupplied with fuel. This process can be repetitive. We demonstrate the existence of such oscillations and discuss the dependence of the results on the stellar parameters. In particular, we show that the oscillation period scales specifically with the mass of the H-burning relaxation shell (HBRS), defined as the part of the H-burning shell above the minimum radius at which the luminosity from below first exceeds the Eddington threshold at the onset of the mass-loss phase. For a stellar mass M* ~ 0.7 M☉, luminosity L* ~ 104 L☉, and mass-loss rate || ~ 10-5 M☉ yr-1, the oscillations have a recurrence time of ~1400 yr ~ 57τfsm, where τfsm is the timescale for modulation of the fuel-supply in the HBRS by the varying mass-loss rate. This period agrees very well with the ~1400 yr period inferred for the spacings between the shells surrounding some planetary nebulae. We also find the half-width of the luminosity peak to be ~0.39 times the oscillation period; for comparison, the observational shell thickness of ~1000 AU corresponds to ~0.36 of the spacing between pulses. We find oscillations only for models in which the luminosity of the relaxation shell is ~10%-15% of the total stellar luminosity and for which energy generation occurs through the p-p chain. We suggest this mechanism as a natural explanation for the circumnebular shells surrounding some planetary nebulae, which appear only at the end of the AGB phase."
1732426,"We present the analysis of time-resolved spectroscopy of the pulsating subdwarf B (sdB) star PG 1605+072. From our main observing run of 16 nights we have detected velocity variations at five frequencies that correspond to those found in photometry. Based on these data, there appears to be change in amplitude of the dominant modes over about a year. However, when we include extra observations to improve the frequency resolution, we find that some of the frequencies are split into two or three. Simulations suggest that the apparent amplitude variation can be at least partially explained by a series of very closely spaced frequencies around the two strongest modes. By combining observations taken over ∼300 d we conclude that some of the closely spaced modes are caused by one mode the amplitude of which is varying, however this frequency is still within ∼1 μHz of an apparently stable frequency. Because of this kind of complexity and uncertainty we advise caution when trying to identify oscillation modes in this star."
1732427,"We discuss the principles governing the selection of inflationary models for which preheating can affect the CMB. This is a (fairly small) subset of those models which have nonnegligible entropy/isocurvature perturbations on large scales during inflation. We study new models which belong to this class—two-field inflation with negative nonminimal coupling and hybrid/double/supernatural inflation models where the tachyonic growth of entropy perturbations can lead to the variation of the curvature perturbation, , on super-Hubble scales. Finally, we present evidence against recent claims for the variation of in the absence of substantial super-Hubble entropy perturbations."
1732429,"The results of a CCD survey for variability of stars in the nearby galaxy NGC 6822 are presented. The goal of the survey was to obtain good light curves of Cepheids for Fourier decomposition and to detect shorter period Cepheids. Since the program was carried out with a relatively small telescope, the Dutch 0.9 m at ESO-La Silla, the observations were unfiltered (white light, or Wh-band). The analysis revealed the presence of more than 130 variable stars. 21 population I Cepheids are detected; 6 of them were already known from previous works (Kayser, 1967). For at least three Cepheids, however, the previous identification or period was wrong. Some probable population II (W Vir) stars are also identified. The dispersion of the fundamental mode Cepheid PL relation appears to be small. Comment: 5 pages; accepted for publication in Astronomy and Astrophysics"
1732430,"This paper presents a model for the outcome of collisions between planetesimals in a debris disk and assesses the impact of collisional processes on the structure and size distribution of the disk. The model is presented by its application to Fomalhaut's collisionally replenished dust disk; a recent 450 micron image of this disk shows a clump embedded within it with a flux ~5 per cent of the total. The following conclusions are drawn: (i) SED modelling is consistent with Fomalhaut's disk having a collisional cascade size distribution extending from bodies 0.2 m in diameter down to 7 micron-sized dust. (ii) Collisional lifetime arguments imply that the cascade starts with planetesimals 1.5-4 km in diameter. Any larger bodies must be predominantly primordial. (iii) Constraints on the timescale for the ignition of the cascade are consistent with these primordial planetesimals having a distribution that extends up to 1000km, resulting in a disk mass of 5-10 times the minimum mass solar nebula. (iv) The debris disk is expected to be intrinsically clumpy, since planetesimal collisions result in dust clumps. The intrinsic clumpiness of Fomalhaut's disk is below current detection limits, but could be detectable by future observatories such as the ALMA, and could provide the only way of determining the primordial planetesimal population. (v) The observed clump could have originated in a collision between two runaway planetesimals, both larger than 1400 km diameter. It is unlikely that we should witness such an event unless both the formation of these runaways and the ignition of the collisional cascade occurred within the last ~10 Myr. (vi) Another explanation for Fomalhaut's clump is that ~5 per cent of the planetesimals in the ring are trapped in 1:2 resonance with a planet orbiting at 80 AU."
1732431,"Using the Effelsberg 100-m telescope, sensitive measurements of the H2O megamaser in NGC3079 are presented. During 2000-2001, ""high velocity"" features are seen that are red-shifted up to 225 km s(-1) with respect to the systemic velocity of the galaxy (V-LSR similar to 1120 km s(-1)). Symmetrically bracketing the systemic velocity, the H2O emission covers a velocity range of similar to 450 kms(-1) with only one potential narrow gap (similar to 20 kms (-1)) near the systemic velocity itself. Velocity drifts of individual components are not convincingly detected. It is shown that the presence of red-shifted emission and the absence of detectable velocity drifts are not inconsistent with the existence of a rotating circumnuclear maser disk at the very center of the galaxy. Significant differences in the overall line profile compared to NGC4258 and a complex morphology of the radio continuum leave, however, space for scepticism."
1732432,We present a numerical model to study the behavior of thermonuclear flames in the discontinuity approximation. This model is applied to investigate the Landau-Darrieus instability under conditions found in Type Ia supernova explosions of Chandrasekhar mass white dwarfs. This is a first step to explore the flame microstructure in these events. The model reproduces Landau's linearized stability analysis in early stages of the flame evolution and the stabilization in a cellular flame structure in the nonlinear stage.
1732433,"In an essay published in 1997, M. J. Harris pointed out that the development of a theoretical explanation, or ""synthesis,"" of a group of astronomical results can lead to a situation where subsequent observations are forced to fit within that framework. Moreover, new results may be reported that fit within the framework but which can no longer be reproduced following the advent of more sensitive observations that overturn the synthesis. Although Harris considered gamma-ray line transients, a similar situation regarding the collapsar model for gamma-ray bursts now holds. In two recent papers posted on astro-ph by J. S. Bloom et al., and by P. A. Price et al., the synthesis effect is illustrated with respect to the collapsar model. These authors dismiss observations that contradict the collapsar model, appeal to ""simplicity"" to justify their preferred model, and dismiss (or better yet, ignore) competing models with unscientific reasoning. Whether or not the collapsar model is correct, these papers serve as textbook examples of the synthesis effect in science."
1732434,"Surveys at mm wavelengths emphasize rare classes of extragalactic radio sources characterized by spectra keeping flat or inverted up to high frequencies (such as blazars, GPS sources, advection dominated sources, or even gamma-ray burst afterglows), which are are difficult to single out at lower frequencies where the counts are dominated by far more numerous populations. Such surveys may lead to the discovery of populations with extreme properties, such as sources of the general GPS or blazar type but peaking at mm wavelengths, whose existence is hinted by currently available data. At relatively lower flux levels mm counts are dominated by high-redshift dusty galaxies, such as those detected by SCUBA and MAMBO surveys. These data have profound implications for our understanding of the formation and early evolution of galaxies. High sensitivity surveys at cm/mm wavelengths may also detect galaxy-scale Sunyaev-Zeldovich effects due to gas heated by central active nuclei."
1732435,"The panoramic integral-field spectrograph SAURON is currently being used to map the stellar kinematics, gaseous kinematics, and stellar populations of a large number of early-type galaxies and bulges. Here, we describe SAURON observations of cold stellar disks embedded in spheroids (NGC3384, NGC4459, NGC4526), we illustrate the kinematics and ionization state of large-scale gaseous disks (NGC4278, NGC7742), and we show preliminary comparisons of SAURON data with barred galaxy N-body simulations (NGC3623)."
1732436,A new generation CCD detector called low light level CCD (L3CCD) that performs like an intensified CCD without incorporating a micro channel plate (MCP) for light amplification was procured and tested. A series of short exposure images with millisecond integration time has been obtained. The L3CCD is cooled to about $-80^\circ$ C by Peltier cooling.
1732437,"We consider the nature of orbits near the solar neighborhood which are perturbed by local spiral arms and the Milky Way bar. We present a simplified Hamiltonian model which includes resonant terms from both types of perturbations and is similar to the forced pendulum. Via numerical integration of this model we construct Poincare maps to illustrate the nature and stability of the phase space. We find that resonance overlap is most likely to cause widespread chaos when the pattern of the spiral structure puts the solar neighborhood near the 2:1 inner Lindblad resonance (ILR) in the case of a 2-armed pattern, or near the 4:1 ILR in the case of a 4-armed pattern. When this happens both the quasiperiodic orbits which support the spiral structure and those that oscillate with the bar are disrupted near the bar's 2:1 outer Lindblad resonance (OLR). Consequently the pattern speed of spiral structure which passes through the OLR must be faster than 0.45 times the solar neighborhood angular rotation rate if it is 2-armed or faster than 0.75 times this value if it is 4-armed. Alternatively the OLR may form a boundary between spiral modes at different pattern speeds. In all cases we find that spiral structure is disrupted by the OLR over a narrow range of radius and the extent of the orbits aligned perpendicular to the bar at the OLR is limited by the spiral perturbations. Comment: submit to AJ"
1732438,We present a new analysis of the irrelevance of Lunar and Planetary Laboratory (LPL) graduate students at the University of Arizona. Based on extensive Monte Carlo simulations we find that the actual number of useful results from LPL graduate students is $0\pm0.01 (5\sigma)$. Their irrelevance quotient far surpasses that of string theorists.
1732439,"We present the results of our search for faint Local Group dwarf galaxies in compact high-velocity clouds (HVCs). We used digitized Palomar Observatory Sky Survey (POSS) data to examine 1 square degree of sky around each of ~250 northern hemisphere HVCs. The POSS images were processed to remove foreground stars and large-scale backgrounds, smoothed to enhance arcminute-sized low surface brightness features, and then compared to the original plates. Using this technique, we located 60 candidate dwarf galaxies in the ~250 square degrees that we surveyed. Followup observations of these candidates have revealed several distant clusters of galaxies and a number of possible Galactic cirrus clouds, but no Local Group dwarfs. It appears that many of the low surface brightness features in the sky survey data are plate flaws. The second-generation red POSS plates are sensitive down to surface brightness levels of 25-26 magnitudes per square arcsecond, and our followup images reached 10-sigma limiting magnitudes of R = 21-23 for point sources. Given these limits, all known Local Group galaxies except four of the very diffuse, extended dwarf spheroidals located within 100 kpc of the Milky Way would have been detected had they been in our survey. Therefore, we can rule out the possibility that these HVCs are associated with normal but faint dwarf galaxies. If compact HVCs do contain stars, they must have surface brightnesses > 1 magnitude per square arcsecond fainter than most known Local Group galaxies. Comment: 17 pages, 6 figures, 2 tables, submitted to ApJ"
1732440,"In cold dark matter models, a galaxy's dark matter halo is more spatially extended than its stars. However, even though the five well-constrained gravitational lenses with time delay measurements must have similar dark matter distributions, reconciling the Hubble constant estimated from their time delays with local estimates is possible only if that dark matter distribution is as compact as the luminous galaxy. The Hubble constant is H0=48-4+7 km/s Mpc (95% confidence) if the lenses have flat rotation curves and H0=71+/-6 km/s Mpc (95% confidence) if they have constant mass-to-light ratios, as compared to H0=72+/-8 km/s Mpc (68% confidence) for local estimates by the HST Key Project. Either all five H0 estimates based on the lenses are wrong, local estimates of H0 are too high, or dark matter distributions are more concentrated than expected. The average value for H0 including the uncertainties in the mass distribution, H0=62+/-7 km/s Mpc, has uncertainties that are competitive with local estimates. However, by selecting a value for H0 you also determine the dark matter distribution of galaxies."
1732441,"By radiation transfer models with a realistic power spectra of the projected density distributions, we show that the optical properties of grains are poorly constrained by observations of reflection nebulae. The ISM is known to be hierarchically clumped from a variety of observations (molecules, H I, far-infrared). Our models assume the albedo and phase parameter of the dust, the radial optical depth of the sphere averaged over all directions, and random distributions of the dust within the sphere. The outputs are the stellar extinction, optical depth, and flux of scattered light as seen from various viewing angles. Observations provide the extinction and scattered flux from a particular direction. Hierarchical geometry has a large effect on the flux of scattered light emerging from a nebula for a particular extinction of the exciting star. There is a very large spread in both scattered fluxes and extinctions for any distribution of dust. Consequently, an observed stellar extinction and scattered flux can be fitted by a wide range of albedos. With hierarchical geometry it is not completely safe to determine even relative optical constants from multiwavelength observations of the same reflection nebula. The geometry effectively changes with wavelength as the opacity of the clumps varies. Limits on the implications of observing the same object in various wavelengths are discussed briefly. Henry (2002) uses a recipe to determine the scattered flux from a star with a given extinction. It is claimed to be independent of the geometry. It provides considerably more scattering than our models, probably leading to an underestimate of the grain albedos from the UV Diffuse Galactic Light. Comment: 27 pages, including 7 figures. Accepted by ApJ"
1732442,"This Conference is the fifth of a series of Workshops on High Energy Gamma- ray Experiments, following the Conferences held in Perugia 2003, Bari 2004, Cividale del Friuli 2005, Elba Island 2006. This year the focus was on the use of gamma-ray to study the Dark Matter component of the Universe, the origin and propagation of Cosmic Rays, Extra Large Spatial Dimensions and Tests of Lorentz Invariance."
1732443,"Living communities can be considered as complex systems, thus a fertile ground for studies related to their statistics and dynamics. In this study we revisit the case of the rhythmic applause by utilizing the model proposed by V\'azquez et al. [A. V\'azquez et al., Phys. Rev. E 73, 036127 (2006)] augmented with two contradicted {\it driving forces}, namely: {\it Individuality} and {\it Companionship}. To that extend, after performing computer simulations with a large number of oscillators we propose an explanation on the following open questions (a) why synchronization occurs suddenly, and b) why synchronization is observed when the clapping period ($T_c$) is $1.5 \cdot T_s < T_c < 2.0 \cdot T_s$ ($T_s$ is the mean self period of the spectators) and is lost after a time. Moreover, based on the model, a weak preferential attachment principle is proposed which can produce complex networks obeying power law in the distribution of number edges per node with exponent greater than 3. Comment: 16 pages, 5 figures"
1732444,"We present 30-GHz Sunyaev–Zel'dovich (SZ) observations of a sample of four galaxy clusters with a prototype of the One Centimetre Receiver Array (OCRA-p) which is mounted on the Torun 32-m telescope. The clusters (Cl 0016+16, MS 0451.6–0305, MS 1054.4–0321 and Abell 2218) are popular SZ targets and serve as commissioning observations. All four are detected with clear significance (4 –6σ) and values for the central temperature decrement are in good agreement with measurements reported in the literature. We believe that systematic effects are successfully suppressed by our observing strategy. The relatively short integration times required to obtain these results demonstrate the power of OCRA-p and its successors for future SZ studies."
